Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-02-10 17:30:23,false,"Copenhagen - Main run 2023","5.84","459","00:30:13","160","172","3.8","174","180","5:10","4:35","22","24","1.25","6.1","7.9","273","49.3% L / 50.7% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.69","10","0.0","00:30:09","00:30:13","--","16"
Running,2023-02-06 18:04:58,false,"Copenhagen - Main run 2023","5.48","452","00:30:16","155","163","3.6","170","177","5:31","4:52","65","67","1.25","6.3","8.1","279","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.36","9","0.0","00:29:49","00:30:16","--","69"
Running,2023-02-03 21:10:15,false,"Copenhagen - Main run 2023","5.40","442","00:30:23","154","162","3.5","170","176","5:38","5:04","1","2","1.22","6.4","8.1","280","49.1% L / 50.9% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.50","10","0.0","00:30:17","00:30:23","--","5"
Running,2023-02-01 12:33:03,false,"Copenhagen - Main run 2023","6.21","479","00:31:12","161","171","3.9","171","177","5:01","4:12","1","3","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.19","10","0.0","00:30:55","00:31:12","--","5"
Running,2023-01-30 17:45:00,false,"Copenhagen - Main run 2023","5.89","467","00:30:48","160","170","3.7","174","179","5:13","4:22","32","34","1.23","6.3","8.0","273","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.15","9","0.0","00:30:46","00:30:48","--","16"
Running,2023-01-27 15:20:35,false,"Copenhagen - Main run 2023","6.20","444","00:30:11","156","166","3.6","177","182","4:52","4:30","24","24","1.22","6.0","7.5","270","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.27","11","0.0","00:30:07","00:30:11","--","14"
Running,2023-01-23 17:57:53,false,"Copenhagen - Main run 2023","6.01","448","00:30:13","159","171","3.6","174","199","5:01","4:13","3","4","1.19","6.3","7.7","270","50.1% L / 49.9% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.50","10","0.0","00:29:54","00:30:13","--","5"
Running,2023-01-20 17:51:35,false,"Copenhagen - Main run 2023","5.62","452","00:30:08","159","169","3.6","173","177","5:21","4:42","27","118","1.17","6.7","8.0","277","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.59","9","0.0","00:30:03","00:30:08","--","96"
Running,2023-01-18 17:24:42,false,"Copenhagen - Main run 2023","5.34","452","00:30:11","160","174","3.6","169","182","5:39","4:51","4","4","1.16","6.9","8.3","278","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.68","9","0.0","00:29:59","00:30:11","--","5"
Running,2023-01-16 17:34:47,false,"Copenhagen - Main run 2023","5.58","459","00:30:19","160","176","3.6","171","179","5:26","4:42","20","20","1.18","6.8","8.2","276","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.03","9","0.0","00:30:12","00:30:19","--","10"
